 	tnxk,txwk
𥋀	beia·目ㅌ丨厂⺕又
𥋁	bbnl·目目冖日乚
𥋂	bhqd·目⺈罒八夊
𥋃	btte·目而而
𥋄	bszr·目覀二火
𥋅	ggbm·虫虫目
𥋆	bjzd·目{享上}子攵
𥋇	bxnf·目⺌冖口手
𥋈	yyyb·土土土兀目
𥋉	bees·目习习耳
𥋊	bjro·目丿大口冂口
𥋋	brrd·目夫夫日
𥋌	bsmd·目龷⺝攵
𥋍	bjay·目丿人人人人土
𥋎	baab·目人人丨厂目
𥋏	bigd·目{立上}戈日
𥋐	bcxb·目氵小丿目
𥋑	bpoi·目刀口辛
𥋒	blrd·目𠂉大口日
𥋓	bdjx·目日{享上}小
𥋔	buhd·目山一王攵
𥋕	bcrq·目氵欠皿
𥋖	bjuy·目虍业,bjuv·目虍{虛下}
𥋗	bved·目丷巾八攵
𥋘	bkxm·目⺮⺌⺝
𥋙	bukk·目业䒑未
𥋚	hqgb·艹罒戈目,xqgb·卝罒戈目
𥋛	bqhg·目罒勹虫
𥋜	pbma·{声下}目宀火又
𥋝	blee·目{黽中}ㅌ⺕
𥋞	btaa·目⻗亽龴
𥋟	bygw·目⺷我
𥋠	bszn·目覀示刂
𥋡	bbnm·目目冖弓弓
𥋢	brbb·目大目目
𥋣	bsbb·目覀貝
𥋤	xnob·⺌冖口甘目
𥋥	bbhq·目目⺈口儿丶
𥋦	bjct·目广コ〢厶厶匕
𥋧	bhem·目⺈⺕攵灬
𥋨	bjtb·目鹿匕
𥋩	mhab·宀一八人口又目
𥋪	muhb·彳山一几攵目
𥋫	bbmy·目目宀一龰
𥋬	bbnn·目目冖八冂冂
𥋭	bqrf·目罒大䒑十
𥋮	bxjy·目{祭上}言
𥋯	bxjy·目{祭上}言
𥋰	bmha·目宀一臼人
𥋱	bmuq·目宀心丿皿
𥋲	bjks·目广䒑{兼下}
𥋳	buqg·目山鬼
𥋴	bkkz·目木木示
𥋵	bidr·目立日欠
𥋶	biqk·目亠囗口禾
𥋷	bhco·目艹氵夂口
𥋸	btqt·目⻗田
𥋹	dhfg·日一寸目{攺左}{民下}
𥋺	bmeu·目宀爫臼
𥋻	bnxb·目冂㐅㐅貝
𥋼	baju·目人文凵冂厶
𥋽	bqld·目罒⺊早
𥋾	bhjh·目艹丿車一
𥋿	bymm·目土{亦下}土{亦下}
𥌀	bmxz·目宀{祭上}示
𥌁	bdwm·目日幺幺灬
𥌂	bbmi·目目宀八方
𥌃	bhax·目一八巾㐅㐅㐅㐅
𥌄	lnhb·⺊冖一貝又目
𥌅	jdmb·厂日⺝犬目
𥌆	byzf·目士乛工一口寸
𥌇	blsi·目𠂉{無中}夕匸丨
𥌈	bckq·目臣{⺮半}皿,bclq·目臣𠂉一皿
𥌉	baoh·目亼口口冂卄
𥌊	ibix·{辣左}目辛
𥌋	bhqd·目艹罒冖夕,bxqd·目卝罒冖夕
𥌌	brri·目火火夕匸丨
𥌍	biaa·目亠八隹又
𥌎	btte·目⻗而
𥌏	pbna·{声下}目冖日亠八
𥌐	bcpu·目{留左上}刀田心
𥌑	blnb·目⺊冖一八人目
𥌒	ygrb·士{壴下}皮目
𥌓	bqyd·目罒耂日
𥌔	bhqb·目⺈罒貝
𥌕	sfrb·廿{革下}皮目
𥌖	bbdn·目目日一勹{丿丿}
𥌗	bbnn·目自冖八冂冂
𥌘	bvgb·目丷豕目
𥌙	pbjf·{声下}目广車
𥌚	byqb·目士罒貝
𥌛	bkhx·目禾勹丿人氺
𥌜	bjmh·目鹿灬
𥌝	buwr·目{臼}幺火,xwhr·⺽幺一火
𥌞	bkxr·目木㐅㐅木大
𥌟	lhlb·⺊一𠂉大人{余下}目
𥌠	bjqu·目虍田心
𥌡	bqyc·目罒土口𧘇
𥌢	bmrx·目宀大丷日小
𥌣	bbew·目白巾丿糸
𥌤	btzx·目匕示⺕氺
𥌥	bjdk·目訁日木
𥌦	brrf·目夫夫車
𥌧	bqdr·目魚日
𥌨	bxby·目米頁
𥌩	bmfu·目彳十罒一心
𥌪	brbb·目夫目目,byba·目土目目八
𥌫	bkyg·目⺮彑{豕下}
𥌬	bjqy·目广甲二八土
𥌭	bbxw·目{具上}小丿糸,bmlw·目{⺝}𠃊小丿糸
𥌮	bjky·目厂禾禾止
𥌯	bhqq·目艹罒冖一𠄌⺄丶,bxqq·目卝罒冖一𠄌⺄丶
𥌰	bgbl·目{贵上}貝辶
𥌱	hqng·艹罒冖目{攺左}{民下},xqng·卝罒冖目{攺左}{民下}
𥌲	bjdt·目{享上}日卝干
𥌳	blwd·目⺧儿⺧儿日
𥌴	brrg·目火火冖虫
𥌵	soat·廿口人丷土目匕
𥌶	buab·目臼人貝,bxab·目⺽人貝
𥌷	bmyu·目宀龶罒心
𥌸	bxhu·目門⺈臼
𥌹	babe·目釒白巾
𥌺	baoh·目亼口口口冂卄
𥌻	bxkq·目門木{柬中}
𥌼	btoo·目⻗口口口
𥌽	bbbd·目貝貝女
𥌾	bjvu·目广亻隹心
𥌿	bkzx·目木示⺕氺
𥍀	baah·目人人戈非一
𥍁	jbyb·丿㠯止⺕冖巾目
𥍂	bsom·目廿口丬匕灬
𥍃	boge·目口虫隹
𥍄	bxwb·目⺌兀宀寸目
𥍅	jqst·丿乀龷丿乀龷人目干
𥍆	bjra·目言火火又
𥍇	bhqt·目艹罒冖一夕匕
𥍈	bbhm·目目艹日{禺下}
𥍉	bsss·目耳耳耳
𥍊	hoob·艹口口隹目,xoob·卝口口隹目
𥍋	bueo·目山隹冂八口
𥍌	buqr·目{臼}{囟框}㐅火,bxqv·目⺽{囟框}㐅大丷
𥍍	bhcq·目艹臣{⺮半}皿
𥍎	bdmb·目日{禺下}頁
𥍏	bjrr·目言火火火
𥍐	bhbk·目艹白幺幺木
𥍑	bfjo·目車丿大口冂口
𥍒	bkgu·目⺮戈丿一口心
𥍓	bood·目口口厂𠃍耳攵
𥍔	bqqw·目田田田糸
𥍕	bxwm·目⺌兀⻗⺌⺝
𥍖	bckb·目臣{⺮半}罒見
𥍗	blqi·目⺊囗㐅{四点}日口凵丨
𥍘	bapw·目亽{即左}土土土兀
𥍙	bxbx·{具上}小{具上}小{具上}小
𥍚	bjdp·目龻攵
𥍛	buod·目山口口厂𠃍耳攵
𥍜	bhba·目艹目目隹又
𥍝	rhvm·矛一
𥍞	rpqv·矛刀丶
𥍟	rwvm·矛殳
𥍠	rasv·矛八丂
𥍡	rbbm·矛白
𥍢	rlpy·矛𠂉也
𥍣	rosv·矛口丂
𥍤	rrmm·矛矛
𥍥	rgjv·矛戈丿
𥍦	rlej·矛𠂉巾
𥍧	rmdx·矛巛夕
𥍨	rhjp·矛⺈厂㔾
𥍩	rntm·矛同
𥍪	rezm·矛豸
𥍫	rqpg·矛丶艮
𥍬	ruad·矛厶八夊,ruwd·矛厶儿夊
𥍭	rfjj·矛扌斤
𥍮	rdff·矛夂丰
𥍯	rena·矛⺕冖又
𥍰	rhhq·矛艹勹丶
𥍱	rlok·矛⺧口
𥍲	rkna·矛木冂人,rknq·矛木冂丿乀
𥍳	rkcf·矛木ユ十
𥍴	rdhn·矛日勹{丿丿}
𥍵	razu·矛亽㇇心
𥍶	rhjr·矛⺈厂𠂉大
𥍷	rhnu·矛勹{丿丿}丶心
𥍸	rilp·矛方𠂉也
𥍹	refl·矛⺕キ廴
𥍺	rxud·矛㐅凵八夊
𥍻	rcdd·矛匚日女
𥍼	rhnr·矛艹冂大
𥍽	rjfh·矛丿車一
𥍾	rttb·矛{比左}匕白
𥍿	rjfb·矛⺁十目
𥎀	rbym·矛頁
𥎁	rklo·矛木⺊口
𥎂	rhse·矛艹耳
𥎃	rlxm·矛气米
𥎄	rapo·矛亽{倉中}口
𥎅	rqxv·矛罒{眔下},rqxs·矛罒氺
𥎆	rmfo·矛宀丰口,rmyo·矛宀龶口
𥎇	rnhl·矛〢一日人𠃊
𥎈	rdsh·矛夂西一
𥎉	rdbb·矛夂貝
𥎊	rsoy·矛廿口龶
𥎋	rqdu·矛{囟框}夊心,rqnu·矛{囟框}{丿丿}丶心
𥎌	rdfl·矛夂丰辶
𥎍	rybb·矛龶貝
𥎎	rhpl·矛角刀牛
𥎏	raad·矛人人人人日
𥎐	rnau·矛冂八口屮凵,rnwu·矛冂儿口屮凵
𥎑	rcwd·矛匸儿匸儿日
𥎒	rdmu·矛日月心
𥎓	rdng·矛日〢一{壴下}
𥎔	rggc·矛豕虫
𥎕	rnaa·矛冂八口戈人,rnwa·矛冂儿口戈人,rnwh·矛冂儿口戈丿一
𥎖	rhax·矛一八巾㐅㐅㐅㐅
𥎗	rusa·矛{臼}丂丨八
𥎘	rtte·矛⻗而
𥎙	rqub·矛田心目
𥎚	rsoy·矛廿口人丷土
𥎛	rcgb·矛匚{贵上}貝
𥎜	rnar·矛冂八口小一大,rnwr·矛冂儿口小一大
𥎝	rlwr·矛⺧儿⺧儿贝
𥎞	rrrb·矛夫夫貝
𥎟	rdid·矛夂立早
𥎠	rhqg·矛⺈罒勹虫
𥎡	rbbe·矛目目隹
𥎢	rknm·矛木冖木木灬
𥎣	rmam·矛宀八臼{鼠下}
𥎤	runr·矛{臼}同木木大火,rumr·矛{臼}⺝丨木木大火
𥎥	riur·矛亠{臼}同木木大火
𥎦	jlrd·厂𠂉大
𥎧	lrfs·𠂉大十
𥎨	klrd·丬𠂉大,hzlr·一㇁𠂉大,hihr·一丨一𠂉大
𥎩	ylrd·止𠂉大
𥎪	lrdp·𠂉大攵
𥎫	pplr·刀刀𠂉大
𥎬	lrtt·𠂉大{比左}匕
𥎭	lrdr·𠂉大日
𥎮	lrja·𠂉大⺁又
𥎯	lrrq·𠂉大欠
𥎰	lryu·𠂉大土厶
𥎱	lrfq·𠂉大𠂇又丶
𥎲	clrt·ユ𠂉大丨匕,clrl·ユ𠂉大丄乚
𥎳	lrdm·𠂉大母
𥎴	lrqt·𠂉大田
𥎵	lrto·𠂉大丁口
𥎶	lrbm·𠂉大目
𥎷	lrbb·𠂉大白
𥎸	lriw·𠂉大亠幺
𥎹	lrcz·𠂉大至
𥎺	lrwz·𠂉大兆
𥎻	nlrd·舟𠂉大
𥎼	yjlr·止厂𠂉大
𥎽	lrur·𠂉大山大
𥎾	lrhp·𠂉大⺈厂㔾
𥎿	lrof·𠂉大口一{于下}
𥏀	aaar·人人人𠂉大
𥏁	lrys·𠂉大止丂
𥏂	aajr·人人厂𠂉大
𥏃	lros·𠂉大口一丂,lrol·𠂉大口二㇉
𥏄	lrtd·𠂉大丆日
𥏅	lrdz·𠂉大早
𥏆	lrbz·𠂉大自
𥏇	rlrd·龹𠂉大
𥏈	whwr·⺇一幺𠂉大
𥏉	ittr·亠{比左}匕𠂉大
𥏊	lree·𠂉大习习
𥏋	lwlr·⺧儿𠂉大
𥏌	lrlw·𠂉大⺧儿
𥏍	lrdo·𠂉大夕口
𥏎	lrel·𠂉大𡈼廴
𥏏	clra·匚𠂉大口又
𥏐	lrkw·𠂉大禾几
𥏑	tlrq·匕𠂉大厶𠂊㇏
𥏒	lrto·𠂉大丅ユ口
𥏓	lrdh·𠂉大日廾
𥏔	lrix·𠂉大辛
𥏕	lrmu·𠂉大宀𠂇厶
𥏖	lrur·𠂉大厶𠂉大
𥏗	lrkj·𠂉大禾𠄎丿
𥏘	lrpu·𠂉大尸屮凵
𥏙	lrrp·𠂉大龹㔾
𥏚	tlre·匕𠂉大⺕巾
𥏛	iglr·{立上}戈𠂉大
𥏜	lrro·𠂉大大丁口
𥏝	lroy·𠂉大亞
𥏞	lraa·𠂉大又又又又
𥏟	lrva·𠂉大丷巾八
𥏠	lrqf·𠂉大{卑上}十
𥏡	lrid·𠂉大立女
𥏢	lrrt·𠂉大大丷干
𥏣	lrrf·𠂉大大䒑十
𥏤	lrrs·𠂉大大丷一丂
𥏥	lrld·𠂉大⺊早
𥏦	lrbs·𠂉大目一丂
𥏧	lroy·𠂉大口人土
𥏨	lrno·𠂉大⺆土口
𥏩	lrme·𠂉大弓瓜
𥏪	lrtb·𠂉大{比左}匕白
𥏫	lrdn·𠂉大日一勹{丿丿}
𥏬	dhhr·日一勹{丿丿}𠂉大
𥏭	lrsk·𠂉大廿𠃊木
𥏮	lrid·𠂉大立日
𥏯	lrod·𠂉大口早
𥏰	ejyt·⺕丿土𠂉大匕
𥏱	lrjh·𠂉大丿車一
𥏲	lrao·𠂉大亽{倉中}口
𥏳	kulr·來厶𠂉大
𥏴	lros·𠂉大口廿一丂
𥏵	lrcq·𠂉大{留左上}刀田
𥏶	tlrd·匕𠂉大禾女
𥏷	bytr·白土匕𠂉大,ybtr·土白匕𠂉大
𥏸	lrug·𠂉大山一{壴下}
𥏹	lrjo·𠂉大{享上}冂口
𥏺	lryi·𠂉大⺶工
𥏻	lrln·𠂉大𠂉日一勹{丿丿}
𥏼	lros·𠂉大口白一丂
𥏽	lrjf·𠂉大虍丿丷{于下}
𥏾	lros·𠂉大口{亻}工一丂,lrol·𠂉大口{亻}工二㇉
𥏿	lrxo·𠂉大門口
𥐀	lrsj·𠂉大其斤
𥐁	lruq·𠂉大业⺶㇏
𥐂	lhlm·⺊一𠂉大日{禺下}
𥐃	lrys·𠂉大止Ｐ二一丂
𥐄	kudr·䒑业日𠂉大
𥐅	lrkd·𠂉大䒑业日
𥐆	lrhy·𠂉大一{壴下}半
𥐇	lrhp·𠂉大一{壴下}艮
𥐈	lrxd·𠂉大米女攵
𥐉	plrg·艮𠂉大一{壴下}
𥐊	lrbd·𠂉大白方攵
𥐋	lrhx·𠂉大一{壴下}艹乂
𥐌	lrio·𠂉大亠丷丨刀{卬左}㇏{斉下}
𥐍	lrhg·𠂉大一{壴下}一{壴下}
𥐎	lrtt·𠂉大⻗而
𥐏	lrho·𠂉大一{壴下}尸𠃌口
𥐐	lrhc·𠂉大一{壴下}亠八口𧘇
𥐑	lrbd·𠂉大貝貝女
𥐒	lrhm·𠂉大一{壴下}{骨上}⺝
𥐓	lrhe·𠂉大艹口口隹,lrxe·𠂉大卝口口隹
𥐔	lrho·𠂉大一{壴下}門口
𥐕	tlvs·石乚
𥐖	jhok·厂一口
𥐗	tpvs·石㔾
𥐘	jzok·厂二口
𥐙	tabs·石八
𥐚	tlbs·石卜
𥐛	tpds·石刀
𥐜	txjs·石九
𥐝	thqv·石勹丶
𥐞	tiws·石亡
𥐟	tqxv·石丶乂
𥐠	txws·石丸
𥐡	thtd·石一丁
𥐢	tuss·石山
𥐣	tmcs·石川
𥐤	talv·石八㇉
𥐥	tjwj·石丿几
𥐦	tzys·石已,tzjs·石己
𥐧	thcs·石廾
𥐨	tpys·石也
𥐩	thvb·石勹冫,thze·石勹二
𥐪	tfuv·石𠂇厶
𥐫	txvs·石{卝},txcs·石卝
𥐬	tlqs·石气
𥐭	tlfs·石𠂉十
𥐮	tpqv·石尸㇏
𥐯	thcv·石一{至上}
𥐰	tcxv·石匚㐅
𥐱	tnwj·石冖几
𥐲	tjwf·石丿凡
𥐳	ttcv·石丅ユ
𥐴	ttbs·石不
𥐵	tcwe·石匚儿
𥐶	twys·石尤
𥐷	thxv·石勹乂
𥐸	tuwe·石厶儿
𥐹	tsjs·石井
𥐺	thwy·石一幺
𥐻	tnxv·石冂㐅
𥐼	tnay·石冂又
𥐽	ttms·石毛
𥐾	thuv·石勹厶
𥐿	tvfs·石⺀十
𥑀	tnwe·石冖儿
𥑁	tpbs·石巴
𥑂	tfay·石十又
𥑃	tilb·石亠卜
𥑄	tyzv·石士乙
𥑅	tlxj·石𠂉九
𥑆	txok·石力口
𥑇	tjrf·石丿夫
𥑈	tjtd·石广丁
𥑉	tjps·石厂巳,tjpv·石⺁㔾
𥑊	tpay·石尸又
𥑋	tayt·石又土
𥑌	tday·石女又
𥑍	tybs·石半
𥑎	tnok·石冂口
𥑏	toxv·石口乂
𥑐	tqjs·石甲
𥑑	twxl·石幺力
𥑒	taxx·石人小
𥑓	tunv·石屮{丿丨},tuwe·石屮儿
𥑔	tegs·石瓜
𥑕	tfaq·石𠂇又丶
𥑖	tujv·石心丿
𥑗	thyq·石一彑丶
𥑘	tkws·石未
𥑙	ixts·工力石
𥑚	thar·石{向框}人
𥑛	tfok·石𠂇口
𥑜	tthv·石不一
𥑝	tzxs·石㇇水
𥑞	tnrd·石冂大
𥑟	yts·{壳上}石
𥑠	tsgs·石甘
𥑡	tkss·石术
𥑢	tfej·石𠂇巾
𥑣	tjpq·石厂㔾丶
𥑤	tqys·石由
𥑥	tlss·石生
𥑦	ltss·生石
𥑧	vfts·亻寸石
𥑨	thxv·石{向框}㐅
𥑩	thay·石{向框}又
𥑪	thxl·石勹㐅𠃊
𥑫	tmab·石宀八
𥑬	tnnh·石⺆⺆一
𥑭	tcjs·石巨
𥑮	tbgs·石古
𥑯	tnnl·石冖冂乚
𥑰	tfig·石𠂇工
𥑱	ipts·工刀石
𥑲	tdhv·石日一
𥑳	tgfv·石戈𠂇
𥑴	ticv·石亠𧘇
𥑵	tjbv·石丿㠯
𥑶	tzkm·石二木,tjkw·石丿未
𥑷	tdar·石日人
𥑸	tnzs·石舟
𥑹	trhs·石大一丂
𥑺	tkuv·石䒑{艸左}
𥑻	tlwe·石⺧儿
𥑼	vgts·亻戈石
𥑽	tjpb·石⺁巴
𥑾	tfhc·石十廾
𥑿	tfmy·石𠂇⺝
𥒀	tchf·石氵一{于下}
𥒁	tvll·石ソ{州中}{州中}
𥒂	thdn·石一夕刂
𥒃	typy·石士也
𥒄	txms·石米
𥒅	thox·石一口乂
𥒆	tkrd·石䒑大
𥒇	tmdn·石宀女
𥒈	tmjt·石宀丿七
𥒉	teex·石习习
𥒊	tdok·石夕口
𥒋	tlfu·石𠂉十凵
𥒌	tjqm·石丿皿
𥒍	thpb·石⺈巴
𥒎	tgjs·石戋,tgvs·石㦮
𥒏	tdxv·石日乂
𥒐	yyts·土土石
𥒑	thls·石一生
𥒒	tfiy·石𠂇丨土
𥒓	tczs·石至
𥒔	tylj·石止廴
𥒕	tbzs·石自
𥒖	tjho·石⺁一口
𥒗	teuv·石爫厶
𥒘	thdr·石勹日
𥒙	tghq·石犭勹丶
𥒚	thxu·石勹㐅凵
𥒛	tcqc·石{卬左}㇏{至上}
𥒜	tvxs·石冫水
𥒝	tiuw·石亠厶儿
𥒞	tyys·石羊
𥒟	cpts·氵巳石
𥒠	eyts·⺕土石
𥒡	tzxh·石㇇水一
𥒢	tppp·石刀刀刀
𥒣	tafu·石又𠂇厶
𥒤	tmus·石巛山
𥒥	tddx·石夕夕
𥒦	typy·石土也
𥒧	tayv·石又龰
𥒨	taxq·石人小丶
𥒩	tnxv·石〢{冫く}
𥒪	tmln·石宀牛
𥒫	tezz·石爫子
𥒬	tmkm·石宀木
𥒭	tgzs·石足
𥒮	tptm·石尸毛
𥒯	ktyt·木石土
𥒰	tfps·石甫
𥒱	thhm·石一廾彡
𥒲	tulr·石厶𠂉大
𥒳	mtiw·宀石亠几
𥒴	thal·石艹人𠃊
𥒵	topb·石口巴
𥒶	tjws·石丿糸
𥒷	tfpe·石{邦左}阝
𥒸	tfxq·石{于下}{冫く}丶
𥒹	tjyq·石广土丶
𥒺	tyux·石士心
𥒻	toxn·石口力刂,tohn·石口{万下}刂
𥒼	tyxx·石止{小}
𥒽	izft·工⺄{龵下}石
𥒾	ttco·石丅ユ口
𥒿	tyhh·石止一{万下}
𥓀	tbtb·石目匕
𥓁	tqdv·石{囟框}夊,tqnq·石{囟框}{丿丿}丶
𥓂	tazo·石亽㇇口
𥓃	tdkm·石夂朩
𥓄	tqze·石甲二
𥓅	took·石口口,tojo·石口丿口
𥓆	tats·石又石
𥓇	dyts·夕止石
𥓈	tfhf·石十卄十
𥓉	tghv·石戈{万下}
𥓊	kjts·木斤石
𥓋	tuwe·石臼儿
𥓌	tylv·石⺶乚,tywe·石⺷儿
𥓍	lhxt·⺊一小又石
𥓎	tprq·石户犬
𥓏	texs·石⺕氺
𥓐	they·石一⺕龰
𥓑	txkn·石㐅朩刂
𥓒	thuj·石⺈臼
𥓓	tqif·石田丨十,tqjf·石田丿十
𥓔	tkdn·石禾女
𥓕	teer·石爫壬
𥓖	tdkm·石日木
𥓗	tuuz·石厶厶厶二
𥓘	tdhn·石日勹{丿丿}
𥓙	kkts·木木石
𥓚	tjwj·石虍几,tjwe·石虍儿
𥓛	thgw·石一戈幺
𥓜	tkls·石來
𥓝	tkdr·石木日
𥓞	tzxu·石㇇氺凵
𥓟	tcoe·石匚口巾
𥓠	thoa·石一口冂人
𥓡	txno·石⺌冂口
𥓢	tyyv·石止龰
𥓣	tdnw·石日冖几
𥓤	tuhb·石山包
𥓥	tddr·石日日
𥓦	tuil·石臼丨㇉
𥓧	llts·牜牛石
𥓨	thhf·石一廾手
𥓩	tyts·石土石
𥓪	tyay·石土八土
𥓫	tcnd·石至刂
𥓬	cnts·至刂石
𥓭	tjbf·石丿㠯十
𥓮	thlu·石勹𠂉十凵
𥓯	tihi·石亠勹方
𥓰	tmam·石宀八弓
𥓱	tmhy·石巛一止
𥓲	tmqt·石巛田
𥓳	tmrp·石彳皮
𥓴	tidp·石方攵
𥓵	tjcq·石广氏丶
𥓶	tdqt·石夂田
𥓷	tjea·石广⺕人
𥓸	tjmv·石衤彡
𥓹	thjr·石廾丿夫
𥓺	rdts·矛攵石
𥓻	txud·石㐅凵八夊
𥓼	tckm·石巨木
𥓽	tytk·石止匕木
𥓾	tfuj·石千臼,ttuj·石干臼
𥓿	tfim·石𠂇工⺝
𥔀	thjy·石勹言
𥔁	thoq·石一口田
𥔂	tlhh·石忄一{炙上}一
𥔃	tgjd·石戈丿一女
𥔄	tuyt·石臼土
𥔅	tqan·石田人{丿丨}
𥔆	tqaa·石囗人人人
𥔇	trdo·石大夕口
𥔈	tjix·石厂辛
𥔉	tmaa·石宀八人又
𥔊	tzcz·石己至,tpcz·石巳至
𥔋	tdqm·石日皿
𥔌	tcdd·石匚日女
𥔍	tkrh·石禾火
𥔎	tioi·石立口亅
𥔏	yqts·龶田石
𥔐	trqq·石大丶皿
𥔑	tmra·石宀火又
𥔒	tnhf·石冖一兀寸
𥔓	tbmy·石古月,tbmr·石古⺼
𥔔	tpxm·石尸米
𥔕	ttmh·石石灬
𥔖	tsdn·石覀女
𥔗	tute·石山而
𥔘	tdmv·石日{禺下}
𥔙	thdp·石艹夕㔾
𥔚	tafj·石人車
𥔛	teta·石爫{爰中}又
𥔜	tkdr·石禾日
𥔝	tkdr·石禾日
𥔞	tapq·石八刀皿
𥔟	tbkm·石白木
𥔠	tjco·石⺁𧘇口
𥔡	tkdr·石禾日
𥔢	tuar·石臼人,txar·石⺽人
𥔣	tydn·石⺷女
𥔤	tpsa·石尸龷八
𥔥	tmqd·石巛囗夊
𥔦	ttqm·石不皿
𥔧	tjfh·石丿車一
𥔨	txts·石水石
𥔩	trts·石欠石
𥔪	tuum·石厶厶厶川
𥔫	tkhv·石未卄,tkhc·石未⺿
𥔬	tfws·石韋
𥔭	txbb·石⺌貝
𥔮	tjjw·石虍文
𥔯	tqol·石囗口辶
𥔰	tehq·石豸勹丶
𥔱	tpee·石户习习
𥔲	toos·石口口一丂
𥔳	yhtw·{壳上}一石殳
𥔴	tlts·石生石
𥔵	thww·石艹幺幺
𥔶	tylu·石⺶乚厶,tywu·石⺷儿厶
𥔷	tjse·石广廿巾
𥔸	tsaq·石龷八小丶
𥔹	ttbd·石丆目夊
𥔺	tena·石爫冖十又
𥔻	jqts·礻申石
𥔼	yhwt·{壳上}一殳石
𥔽	thao·石艹亼口
𥔾	thix·石艹亡{巟下}
𥔿	teuj·石爫臼
𥕀	taue·石八厶习习
𥕁	tjse·石文耳
𥕂	txam·石{冫く}人⺝
𥕃	tuum·石厶厶厶灬
𥕄	tyqz·石土甲二
𥕅	tmab·石宀八且,tmwb·石宀儿且
𥕆	tkkh·石禾禾
𥕇	tcux·石匚山囗㐅
𥕈	tjhl·石⺁一夕辶
𥕉	tjsd·石厂龷日
𥕊	thrh·石艹大廾
𥕋	tuia·石臼丨又,txia·石⺽丨又
𥕌	tfjj·石車斤
𥕍	tqdn·石{婁上}女
𥕎	tjex·石广⺕氺
𥕏	tqgh·石囗戈口一
𥕐	tinb·石{立上}冂古
𥕑	tjbq·石虍且
𥕒	tjsd·石广龷日
𥕓	thdr·石艹日大
𥕔	trjy·石欠言
𥕕	tjjf·石虍丿丷{于下}
𥕖	tjzp·石{享上}子阝
𥕗	hqnt·艹罒冖石,xqnt·卝罒冖石
𥕘	tmdk·石巛日木
𥕙	tqlt·石丶生石
𥕚	trrf·石火火⺄十
𥕛	tsyt·石其土
𥕜	thmw·石艹宀一兀
𥕝	txts·石米石
𥕞	tidz·石立早
𥕟	tpty·石尸雨
𥕠	tjdl·石厂日日乚
𥕡	tscp·石耳{卬左}丿卩
𥕢	thdd·石卄日日
𥕣	tmdf·石彳日一寸
𥕤	tyqm·石⺷皿
𥕥	tcoo·石匚口口口
𥕦	tiac·石亠八口𧘇,tiwc·石亠儿口𧘇
𥕧	tswe·石廿儿冖巾
𥕨	tzyg·石乛龰虫
𥕩	thzy·石艹乛亠龰
𥕪	thrz·石艹夫子
𥕫	tjlb·石⺁⺊貝
𥕬	tely·石爫𠂉一止
𥕭	xxxt·⺽㐅㐅石
𥕮	tjuu·石文凵冂厶
𥕯	tmvd·石宀亻丆日
𥕰	tjuy·石虍业,tjuv·石虍{虛下}
𥕱	tygm·石士{壴下}彡
𥕲	tjkr·石厂䒑{艸左}欠
𥕳	jkut·厂䒑{艸左}欠石
𥕴	trvx·石大丷日小
𥕵	tzsd·石𠃍耳攵,ttsd·石丅耳攵
𥕶	tsjj·石其斤
𥕷	ttte·石而而
𥕸	tdsa·石日耳又,tnza·石冂二耳又
𥕹	tttt·石毛毛毛
𥕺	tuuq·石厶厶厶人小丶
𥕻	tlsm·石𠂉{無中}灬
𥕼	tazh·石亽㇇西一
𥕽	ygmt·士{壴下}彡石
𥕾	tsva·石龷丷巾八,thha·石艹一八巾八
𥕿	jxqt·丿米田石
𥖀	tfhb·石十卄貝
𥖁	tvsf·石丷西一寸
𥖂	tjcd·石广コ〢乛一夊
𥖃	tkwd·石䒑幺幺女
𥖄	tyvr·石⺷冫欠,tyzr·石⺷二欠
𥖅	tthc·石⻗一{至上}
𥖆	txhh·石門一廾
𥖇	teif·石⺕工口寸
𥖈	thyw·石艹⺷几
𥖉	tdjx·石日{享上}小
𥖊	toto·石口丆囗ㅒ
𥖋	tyyy·石止止止
𥖌	tjay·石丿人人人人土
𥖍	ckot·氵木口刂石
𥖎	kxxt·木㐅㐅木石
𥖏	tdbb·石毌貝
𥖐	tpvg·石阝丷豕
𥖑	pttr·尸毛石皮
𥖒	tlhz·石忄勹日子
𥖓	troo·石皮口口
𥖔	tkgg·石木戈戈
𥖕	ootr·口口石皮,ojor·口丿口石皮
𥖖	trfp·石皮扌巴
𥖗	ygwt·士{壴下}殳石
𥖘	tslg·石其𠃊戈
𥖙	togh·石口戈ㅒ一,tosg·石口耳戈
𥖚	tmau·石宀八尸屮凵,tmwu·石宀儿尸屮凵
𥖛	thyd·石艹耂日,thyq·石艹耂日丶
𥖜	tkkz·石木木示
𥖝	tjks·石广䒑{兼下}
𥖞	epts·豸艮石
𥖟	ttaa·石⻗亽龴
𥖠	tqhg·石罒勹虫
𥖡	wqpt·乡丶{即左}阝石,wbtt·乡白匕阝石
𥖢	thsk·石艹廿𠃊木
𥖣	thdm·石艹日{禺下}
𥖤	tnlz·石咼辶
𥖥	kdkt·木夕木冖石
𥖦	tend·石爫冖心夊
𥖧	ttpn·石{比左}鳥
𥖨	took·石口口口木
𥖩	taqd·石亼{曾中}日
𥖪	thea·石艹隹又,txea·石卝隹又
𥖫	ygrt·士{壴下}皮石
𥖬	tvew·石冫馬几
