好	a	女子
臾	bsy	臼人
畛	bsu	田人彡
堠	bsit	土亻矢
田	bti	田
土	btu	土
圪	bto	土乙
累	bul	田糸
壳	buo	士冖几
坡	bup	土皮
壶	bur	士冖业
壹	buoy	士冖豆
懿	buoj	士冖豆心
毗	buu	田匕匕
坳	buoa	土幺力
毂	bug	士冖车又
坍	buy	土⺆亠
悫	buoj	士冖几心
爨	buq	⺽冂一火
垌	buqk	土冂一口
彀	buqf	士冖一又
觳	buqf	士冖一又
璺	buqv	⺽冂一丶
款	bva	士示欠
盐	bvo	土卜皿
垆	bvh	土⺊尸
坫	bvk	土⺊口
垣	bwn	土二日
墟	bwr	土虍业
堍	bwt	土兔
圬	bwo	土二乙
畎	bwq	田犬
垅	bwl	土龙
坪	bxi	土干丷
圻	bxq	土斤
坼	bxv	土斤丶
坑	byo	土亠几
坊	byf	土方
敷	byff	甫方攵
坟	byr	土亠乂
畏	byw	田
壤	byk	土衣吅
坻	byv	土氏丶
墒	byi	土亠丷口
堙	byb	土覀土
城	bzo	土戊乙
域	bzk	土戈口一
清	cam	氵龶月
泡	cajp	氵勹巳
沟	caj	氵勹厶
澳	caoe	氵米大
淘	cao	氵勹缶
汝	car	氵女
渍	cac	氵龶贝
洵	can	氵勹日
赡	cah	贝⺈厂言
涣	cau	氵⺈冂大
澹	cahl	氵⺈厂言
洳	cak	氵女口
法	cbj	氵土厶
油	cby	氵由
贝	cbe	贝
洁	cbk	氵士口
浦	cbp	氵甫
洼	cbb	氵土土
渭	cbm	氵田月
溥	cbd	氵甫寸
漯	cbu	氵田糸
甾	cbz	巛田
溲	cbl	氵臼丨又
淠	cbq	氵田一
溘	cbjo	氵土厶皿
赙	cbdf	贝甫寸
川	cch	川
顺	ccs	川页
溢	cco	氵皿
婴	cca	贝贝女
溅	ccz	氵贝戋
赎	ccjs	贝头
淼	ccc	水水水
泾	ccoj	氵ス工
渤	ccho	氵子力
渎	ccj	氵头
淄	ccb	氵巛田
鹦	ccae	贝贝女鸟
罂	ccoy	贝贝缶
巛	cchu	巛
河	cdk	氵丁口
财	cdm	贝丿
津	cdw	氵彐二丨
浙	cdx	氵扌斤
浸	cdu	氵彐冖又
汀	cdt	氵丁
湃	cde	氵龵三十
浔	cdd	氵彐寸
溉	cdj	氵彐儿
渌	cdc	氵彐氺
溪	ceu	氵爫幺大
添	cej	氵天
潜	cee	氵夫夫日
涛	cem	氵三丿寸
浮	ceh	氵爫子
淮	cehu	氵隹
渝	cemz	氵亼月刂
淹	cen	氵大电
浊	cez	氵虫
淫	cemb	氵爫丿士
溃	cec	氵贝
洽	cek	氵亼口
汰	cev	氵大丶
滔	ceb	氵爫臼
沣	cel	氵三丨
泠	cejl	氵亽龴
潦	ceii	氵大丷小
溱	cet	氵禾
潋	ceif	氵亼攵
滟	celw	氵三丨巴
浃	cei	氵夫丷
瀹	cekr	氵亼口艹
溃	cech	氵贝
洛	cfk	氵夂口
汉	cfh	氵又
泽	cfwl	氵又二丨
败	cfb	贝攵
汪	cfw	氵王
滩	cfe	氵又隹
贿	cfm	贝月
涤	cfx	氵夂朩
赂	cfkl	贝夂口
汊	cfv	氵又丶
蠹	cfee	石虫虫
橐	cfxt	石木
洧	cfmw	氵月
湎	cfj	氵丆囬
洚	cfg	氵夂㐄
流	cgc	氵
涉	cgi	氵止
渐	cgx	氵车斤
赔	cgk	贝立口
澄	cgo	氵癶豆
汛	cgxu	氵卂
漳	cgn	氵立早
泣	cgq	氵立
澈	cgm	氵月攵
濒	cgic	氵止页
瀛	cgkv	氵亡口丶
潞	cgf	氵夂口
潼	cgnb	氵立日土
涟	cgl	氵车辶
