字符,拆分
𡼍,山氵旦勿
𡼎,山壴口
𡼏,山門日
𡼐,氏日攵山
𡼑,山品二乙
𡼒,山一冂十
𡼓,山丷西大
𡼔,山工頁
𡼕,山隹乙
𡼖,子攵山
𡼗,山自十
𡼘,山山山乙
𡼙,山丨一乙
𡼚,吅山吅
𡼛,山丆冂戈
𡼜,山王月月
𡼝,山十艹貝
𡼞,山耂日阝
𡼟,山覀大㔾
𡼠,山幺幺丶
𡼡,山黑
𡼢,山彐工寸
𡼣,山彐丨一
𡼤,山吅
𡼥,山門月
𡼦,山宀示攵
𡼧,山尸氺牛
𡼨,山木木木
𡼩,山日小
𡼪,山亼口
𡼫,山夫夫日
𡼬,山覀日十
𡼭,山大丁欠
𡼮,山日小
𡼯,吅山
𡼰,山山吅乙
𡼱,山囗㐄
𡼲,山金欠
𡼳,山丷日
𡼴,山人人目
𡼵,山米夕㐄
𡼶,山厶厶
𡼷,山火日火
𡼸,山彐丨
𡼹,山木土夂
𡼺,山母示
𡼻,千龷凵㠯
𡼼,山十早月
𡼽,山飠欠
𡼾,山亼日
𡼿,山穴尸凵
𡽀,山乂⺀夂
𡽁,山自立十
𡽂,山壴十又
𡽃,阝工山
𡽄,山白方攵
𡽅,山冖車辶
𡽆,山宀十八
𡽇,山艹日⽱
𡽈,山尸二凵
𡽉,山亠丷二
𡽊,山尚田
𡽋,山礻彐氺
𡽌,壴十又山
𡽍,山囗艹豆
𡽎,山金甘
𡽏,山而免
𡽐,山厂羽彡
𡽑,山黽彐
𡽒,山山本本
𡽓,山山工
𡽔,山囗人十
𡽕,山自立十
𡽖,山⺈用牛
𡽗,山亼吅人
𡽘,山夂口
𡽙,山日勹欠
𡽚,人于八山
𡽛,山石隹
𡽜,山禾刂言
𡽝,山艹高
𡽞,山龷日
𡽟,山广羽彡
𡽠,山皮頁
𡽡,山免免
𡽢,山羽隹
𡽣,山厂日犬
𡽤,山火火㐄
𡽥,山人人戈
𡽦,山广羽彡
𡽧,山厂土⺎
𡽨,山耳又乑
𡽩,山士口土
𡽪,山彳一攵
𡽫,山女木攵
𡽬,⺽一乙山
𡽭,山厶厶糸
𡽮,山艹了灬
𡽯,山禾千二
𡽰,山糹隹
𡽱,山十戈隹
𡽲,山木方
𡽳,山臣皿
𡽴,山臣
𡽵,山业⺷寸
𡽶,山自田
𡽷,山十⺎
𡽸,山爫工心
𡽹,山亽龴頁
𡽺,犭言犬山
𡽻,山氵車斤
𡽼,山忄亠木
𡽽,山火火
𡽾,山臣皿
𡽿,山山山示
𡾀,山山人乙
𡾁,山氵龴辶
𡾂,山丆月又
𡾃,山小隹戈
𡾄,山口十攵
𡾅,山虍田心
𡾆,山夂口頁
𡾇,山广龷八
𡾈,山穴身弓
𡾉,山麻手
𡾊,山田田田
𡾋,山田田田
𡾌,山鹿灬
𡾍,山小人日
𡾎,火旦山
𡾏,山石石石
𡾐,山齒
𡾑,山亻人工
𡾒,山白幺木
𡾓,山尸丷日
𡾔,田田田山
𡾕,山山氵勿
𡾖,山石白厶
𡾗,山山山大
𡾘,山回十
𡾙,山吅吅
𡾚,山心心木
𡾛,山白儿开
𡾜,山⻗隹
𡾝,山衣罒氺
𡾞,山⺷禾戈
𡾟,山虍乙戈
𡾠,山虍业戈
𡾡,山⺎日
𡾢,山宀三心
𡾣,山豆頁
𡾤,山尸口子
𡾥,山小系
𡾦,山山丿十
𡾧,山隹門
𡾨,山衣罒氺
𡾩,立月一山
𡾪,山弓三田
𡾫,山禾乃頁
𡾬,山馬
𡾭,山广亠禾
𡾮,山魚羊
𡾯,山阝爫心
𡾰,山宀足
𡾱,山弓一乂
𡾲,山艹十
𡾳,山糹心
𡾴,山亼吅欠
𡾵,山白儿立
𡾶,山广亻心
𡾷,山厂石石
𡾸,山貝貝女
𡾹,山立木
𡾺,山人人一
𡾻,山臣
𡾼,山隹隹又
𡾽,山糹丷日
𡾾,山金白厶
𡾿,山山三豆
𡿀,山山隹口
𡿁,禾女白山
𡿂,山宀示土
𡿃,山宀夂頁
𡿄,山艹臣
𡿅,山日⽱頁
𡿆,山白儿女
𡿇,山罒糹隹
𡿈,山石石木
𡿉,艹田田山
𡿊,廿口夫山
𡿋,山艹日虫
𡿌,山非麻
𡿍,山⺧儿貝
𡿎,山㐫禸隹
𡿏,山罒糹隹
𡿐,山麻非
𡿑,山⺈用㐄
𡿒,山艹子
𡿓,山尚黑
𡿔,山田田糸
𡿕,山虍一瓦
𡿖,山三丨齒
𡿗,山艹木
𡿘,山山糹日
𡿙,山爫幺鳥
𡿚,山艹自又
𡿛,山厂石木
𡿜,山田田糸
𡿝,山吅
𡿞,山言糹弓
𡿟,山艹自夂
𡿠,山魚米㐄
𡿡,山⻗口人
𡿢,山止免
𡿣,山言⺈兔
𡿤,丨一⺊口
𡿥,山木缶彡
𡿦,巛
𡿧,一巛
𡿨,乙
𡿩,巛冂一
𡿪,巛夕
𡿫,亡川
𡿬,人乙巛
𡿭,巛巛
𡿮,亠厶巛
𡿯,日巛
𡿰,巛
𡿱,一巛千一
𡿲,巛用
𡿳,巛几二丨
𡿴,一巛
𡿵,巛古
𡿶,巛本
𡿷,巛吕
𡿸,巛一囗人
𡿹,巛口屮
𡿺,巛乂
𡿻,丿罒巛
𡿼,巛罒十
𡿽,彡止巛
𡿾,巛隹
𡿿,戈口一巛
𢀀,巛⺽乙
𢀁,巛⺁又犮
𢀂,巛冂人氺
𢀃,士几車巛
𢀄,三丨凵巴
𢀅,巛冂人一
𢀆,巛句火火
𢀇,巛乂几
𢀈,巛囗乂几
𢀉,巛囗乂口
𢀊,巛日木人
𢀋,巛日木巾
𢀌,巛日木木
𢀍,日小巴
𢀎,白巛白巛
𢀏,巛⺽⽱
𢀐,糸巛囗几
𢀑,一丨
𢀒,工乙
𢀓,工乙
𢀔,工乙
𢀕,工乙
𢀖,ス工
𢀗,丨工乙
𢀘,工
𢀙,工丩
𢀚,一丨二二
𢀛,工口
𢀜,工乙二丿
𢀝,一丨丷丿
𢀞,工彐丿
𢀟,幺刀工
𢀠,龵工
𢀡,工工
𢀢,工目儿
𢀣,工人人又
𢀤,工几又
𢀥,匚三阝
𢀦,匚戶斤
𢀧,匚亼艹
𢀨,匚丶阝
𢀩,亻人人工
𢀪,工一巾人
𢀫,一巛工几
𢀬,匚丶月
𢀭,匚十月
𢀮,亠回禾
𢀯,一丨厂工
𢀰,一丨一工
𢀱,匚魚禾
𢀲,匚木貝
𢀳,彐乙
𢀴,⺁巳
𢀵,己己
𢀶,弓己
𢀷,了己
𢀸,⺊夕巳
𢀹,丿㠯巳
𢀺,夫凵巳
𢀻,丷一一己
𢀼,龷八巴
𢀽,彡止己
𢀾,乙水二巳
𢀿,了一巴
𢁀,龷八勹巳
𢁁,豕丶巳
𢁂,其巳
𢁃,山山人巳
𢁄,丬矢巳
𢁅,巳巳丿千
𢁆,巾己
𢁇,了三巴
𢁈,旦龰巳
𢁉,己己龷八
𢁊,巴扌弋工
𢁋,巴阝土夂
𢁌,巳巳一八
𢁍,巴爫灬
𢁎,巳龷七
𢁏,⺧口丿己
𢁐,田田田巳
𢁑,巴木口貝
𢁒,巾几
𢁓,丆巾
𢁔,厶巾
𢁕,巾勹丶
𢁖,巾大
𢁗,巾干
𢁘,巾彡
𢁙,夂巾
𢁚,巾三
𢁛,丿巾
𢁜,巾寸
𢁝,巾巾
𢁞,巾勹丿
𢁟,夕巾
𢁠,巾弓
𢁡,巾㔾丶
𢁢,巾二乙
𢁣,巾亡
𢁤,巾丶
𢁥,八刀巾
𢁦,巾匕匕
𢁧,巾欠
𢁨,彐丿巾
𢁩,巾冂丿丶
𢁪,巾人
𢁫,乂乂巾
𢁬,巾爪
𢁭,人二巾
𢁮,巾亽乙
𢁯,巾日
𢁰,人丷巾
𢁱,巾丿大
𢁲,巾厶儿
𢁳,歹巾
𢁴,一幺巾
𢁵,巾⺊又
𢁶,巾冂又
𢁷,巾八厶
𢁸,巾方
𢁹,乙二巾
𢁺,⺁一乙巾
𢁻,巾巾
𢁼,巾宀丁
𢁽,巾必
𢁾,巾刀口
𢁿,巾一止
𢂀,巾弓
𢂁,巾句
𢂂,亽龴巾
𢂃,巾丨二
𢂄,巾亠幺
𢂅,巾幺刀
𢂆,巾亻寸
𢂇,一丷冖巾
𢂈,巾且
𢂉,巾巾一一
𢂊,巾幺力
𢂋,巾
𢂌,巾亻弋
𢂍,巾丿乙丿
𢂎,巾由
𢂏,一巾一巾
𢂐,巾力力力
𢂑,巾弋工
𢂒,巾大弓
𢂓,巾冂一口
𢂔,巾龷八
𢂕,巾⺈厂㔾
𢂖,丬匕一巾
𢂗,一卩巾
𢂘,巾人王
𢂙,巾
𢂚,亠日巾
𢂛,一巾丿又
𢂜,彐丿巾
𢂝,巾日乙丿
𢂞,乂乂巾
𢂟,乙丿又巾
𢂠,亡巾
𢂡,巾二日
𢂢,巾耂匕
𢂣,巾丨子
𢂤,一巾犮
𢂥,巾歹刂
𢂦,⺊日巾
𢂧,巾亻丿士
𢂨,丿几丿巾
𢂩,巾亡巛
𢂪,亡巛巾
𢂫,彐丿⺈丨
𢂬,女又丿巾
𢂭,丩又龴巾
𢂮,巾千一儿
𢂯,十人人巾
𢂰,巾⺈彐丨
𢂱,巾口月
𢂲,巾谷
𢂳,巾母
𢂴,巾士心
𢂵,巾戈廾
𢂶,巾冂八口
𢂷,一巾亼口
𢂸,廿儿一巾
𢂹,巾白儿
𢂺,⺊夕又巾
𢂻,巾刀丶心
𢂼,扌斤巾
𢂽,巾彐丿口
𢂾,巾艹亡
𢂿,巾大人人
𢃀,巾工人人
𢃁,冂丿巾
𢃂,女又丿巾
𢃃,且力巾
𢃄,廿乙冖巾
𢃅,巾广木
𢃆,彐丿口巾
𢃇,巾日土
𢃈,巾王廾
𢃉,巾口力刂
𢃊,巾乙口
𢃋,吅一巾
𢃌,止匕巾
𢃍,巾白丿十
𢃎,巾戈口一
𢃏,巾宀示
𢃐,巾穴工
𢃑,巾日日
𢃒,巾亠人十
𢃓,巾木八厶
𢃔,巾火火
𢃕,巾水日
𢃖,巾⺆土口
𢃗,巾了凵
𢃘,户攵巾
𢃙,巾宀㠯
𢃚,巾日匕匕
𢃛,甘大巾
𢃜,巾十
𢃝,上小又巾
𢃞,巾彐冖巾
𢃟,巾龷日
𢃠,巾囗夂⺀
𢃡,巾日勿
𢃢,巾龶月
𢃣,巾耳又
𢃤,戈口一巾
𢃥,臣又巾
𢃦,巾日木
𢃧,巾八厶心
𢃨,巾广矢
𢃩,巾丷夫㔾
𢃪,木八厶巾
𢃫,巾匚大人
𢃬,丷一月巾
𢃭,巾勿丶心
𢃮,巾丆囬
𢃯,巾癶天
𢃰,巾旦龰
𢃱,巾甘木
𢃲,巾革
𢃳,彐冖巾巴
𢃴,木口刂巾
𢃵,⺽⺈巾
𢃶,巾龶母
𢃷,山巾山巾
𢃸,巾禾火
𢃹,冂冂儿巾
𢃺,白巾乃丶
𢃻,一丿乙巾
𢃼,巾尸丨目
𢃽,巾覀女
𢃾,巾而大
𢃿,巾木
𢄀,一冖巾巾
𢄁,业丷一巾
𢄂,且力亠巾
𢄃,巾氵⺁
𢄄,山一巾且
𢄅,巾戈一火
𢄆,䶹屮宀巾
𢄇,白巾勹厶
𢄈,巾立日
𢄉,一巾
𢄊,巾白儿厶
𢄋,火火冖巾
𢄌,巾乂朩又
𢄍,巾土厶皿
𢄎,巾方
𢄏,宀八巾
𢄐,巾冖一豕
𢄑,巾丷夫巾
𢄒,巾户羽
𢄓,巾烏
𢄔,廿儿巾
𢄕,人亠乂巾
𢄖,由乙丿巾
𢄗,白巾冂口
𢄘,豕辶巾
𢄙,巾口貝
𢄚,⺽夕巾
𢄛,巾弓口
𢄜,巾龴囗干
𢄝,白巾勹巳
𢄞,米攵巾
𢄟,巾龴用辶
𢄠,巾匚品
𢄡,未攵厂巾
𢄢,土八土巾
𢄣,巾三丨彐
𢄤,車斤巾
𢄥,彐⺈巾巾
𢄦,巾鳥
𢄧,方矢巾
𢄨,巾宀一八
𢄩,巾廿儿巾
𢄪,巾羽人彡
𢄫,巾匚
𢄬,十冖巾巾
𢄭,巾羽白
𢄮,予冂人巾
𢄯,巾母攵
𢄰,巾夂丷口
𢄱,巾車辶
𢄲,方乙巾
𢄳,巾大耂日
𢄴,巾衣夕夕
𢄵,巾⺈口
𢄶,巾彐土一
𢄷,巾大丷小
𢄸,巾日耳又
𢄹,巾丿大口
𢄺,巾隹灬
𢄻,巾龷月攵
𢄼,彡頁巾
𢄽,巾弋二八
𢄾,日二巾巾
𢄿,一中冖巾
𢅀,巾覀早
𢅁,爫子白巾
𢅂,巾弓工口
𢅃,巾癶一几
𢅄,罒土厶巾
𢅅,巾厂屰欠
𢅆,巾艹日月
𢅇,山巾屮毛
𢅈,亠巾亠巾
𢅉,白巾白儿
𢅊,龷巾
𢅋,巾丷日
𢅌,爫灬巾
𢅍,士冖石巾
𢅎,巾白方攵
𢅏,巾广丷
𢅐,巾亼吅人
𢅑,巾⺈彐灬
𢅒,巾亠回旦
𢅓,丨一⺊巾
𢅔,巾丨一丶
𢅕,巾丷豕辶
𢅖,巾立丿
𢅗,巾冂乙辶
𢅘,巾艹罒几
𢅙,巾木冂貝
𢅚,巾覀示刂
𢅛,巾龙丿
𢅜,彐冖巾巾
𢅝,尸龷八巾
𢅞,白巾彑氺
𢅟,巾匕矢龰
𢅠,厂日月巾
𢅡,巾臣皿
𢅢,山二巾又
𢅣,巾士口土
𢅤,巾艹土皿
𢅥,巾厂壴寸
𢅦,彐冖巾龰
𢅧,巾糹白巾
𢅨,旦龰彐巾
𢅩,巾罒厶匕
𢅪,巾戊上心
𢅫,巾三丨心
𢅬,白巾十八
𢅭,巾木口貝
𢅮,土八土巾
𢅯,巾大隹田
𢅰,巾門臼儿
𢅱,巾弓工灬
𢅲,土丷干巾
𢅳,巾立丿
𢅴,巾艹罒目
𢅵,巾罒戊
𢅶,巾囗戉
𢅷,艹㡀攵巾
𢅸,亼吅人巾
𢅹,巾亼口艹
𢅺,彐二丨巾
𢅻,巾隹隹又
𢅼,巾丆目夂
𢅽,巾⺽火
𢅾,巾罒糹隹
𢅿,巾大廿木
𢆀,巾囗口王
𢆁,巾广
𢆂,巾立月刂
𢆃,巾丷一夂
𢆄,巾艹門
𢆅,彐土日巾
𢆆,巾艹止夂
𢆇,白癶巾木
𢆈,彳丨巾
𢆉,丷一十
𢆊,干丷丁
𢆋,厶儿干
𢆌,⺊厂干
𢆍,千日
𢆎,大丷干
𢆏,十亠十
𢆐,二丨干
𢆑,人人人干
𢆒,上一干
𢆓,不干丷
𢆔,吅干
𢆕,干丷⺁又
𢆖,五口干
𢆗,丷开乙土
𢆘,ヰ欠
𢆙,刀刀一干
𢆚,开木口
𢆛,一干开
𢆜,日勹人干
𢆝,旦龰干
𢆞,一干口
𢆟,二丨凵干
𢆠,木人人丷
𢆡,爫子乙ヰ
𢆢,夕匚开
𢆣,丷开亠丶
𢆤,丷夫㔾ヰ
𢆥,十冂丷ヰ
𢆦,罒干木日
𢆧,土丷干攵
𢆨,木攵土干
𢆩,丶匚干
𢆪,土丷干土
𢆫,ヰ止
𢆬,木口木干
𢆭,巛ヰ
𢆮,干丷艹臣
𢆯,幺丨
𢆰,一幺
𢆱,乙幺
𢆲,幺力
𢆳,幺了
𢆴,幺了
𢆵,幺乙一
𢆶,幺幺
𢆷,幺少
𢆸,幺幺乙
𢆹,幺云
𢆺,一乙丿幺
𢆻,幺幺几
𢆼,幺幺又
𢆽,幺丨少
𢆾,丿幺丿幺
𢆿,乂幺
𢇀,幺尸工
𢇁,幺幺灬
𢇂,幺幺廾
𢇃,幺八幺八
𢇄,幺氵少
𢇅,幺幺丨⺊
𢇆,乂幺丨
𢇇,幺幺乙乙
𢇈,幺幺大丷
𢇉,幺乙丶寸
𢇊,刀口阝丨
𢇋,幺丨日乙
𢇌,彳止龰幺
𢇍,幺幺一一
𢇎,幺扌大口
𢇏,爪爪幺幺
𢇐,幺⺈口
𢇑,山幺幺幺
𢇒,幺幺戊乙
𢇓,幺幺戊乙
𢇔,幺力日小
𢇕,山幺幺幺
𢇖,幺幺㐫乙
𢇗,广下
𢇘,广女
𢇙,广弋
𢇚,广也
𢇛,广干
𢇜,广亡
𢇝,广幺
𢇞,广口
𢇟,广⺎
𢇠,广丿七
𢇡,广二乙
𢇢,广山
𢇣,广欠
𢇤,广水
𢇥,广九十
𢇦,广丿士
𢇧,广冖儿
𢇨,广一幺
𢇩,广开
𢇪,广⺁又
𢇫,广丿之
𢇬,广又
𢇭,广⺀乙
𢇮,广⺊又
𢇯,广亻又
𢇰,广厶儿
𢇱,广八一乙
𢇲,广禾
𢇳,广皮
𢇴,广巾
𢇵,广囗又
𢇶,广田
𢇷,广犮
𢇸,广廿乙
𢇹,广丘
𢇺,广冂口
𢇻,广矢
𢇼,广氏乙
𢇽,广士又
𢇾,广甘
𢇿,广屮凵
𢈀,广业
𢈁,广人口
𢈂,广㠯
𢈃,广山匕
𢈄,广亻丿七
𢈅,广瓜
𢈆,广刀口
𢈇,广⺧儿
𢈈,广亼口
𢈉,广冂一口
𢈊,广缶
𢈋,广厶月
𢈌,广⺈厂㔾
𢈍,广米
𢈎,广龷八
𢈏,广彐丨八
𢈐,广龷几
𢈑,广九八刀
𢈒,广艹乂
𢈓,广月
𢈔,广日乂
𢈕,广⺁
𢈖,广一冂土
𢈗,广史乙
𢈘,广八
𢈙,广大人人
𢈚,广口
𢈛,广囗木
𢈜,广爿士
𢈝,广求
𢈞,广⺊囗
𢈟,广厶矢
𢈠,广木口
𢈡,广厶八夂
𢈢,广口中
𢈣,广夕
𢈤,广七甲
𢈥,广目儿
𢈦,广夂三丨
𢈧,广丬十又
𢈨,广止
𢈩,广走
𢈪,广五口
𢈫,广厂二
𢈬,广十目
𢈭,广月
𢈮,广八
𢈯,广身
𢈰,广彐人十
𢈱,广禾刂
𢈲,广日子
𢈳,广八厶心
𢈴,广小
𢈵,广穴工
𢈶,广虍几
𢈷,广田一
𢈸,广亽乙心
𢈹,广十
𢈺,广亠回
𢈻,广一彐龰
𢈼,广亠人十
𢈽,广戈戈
𢈾,广耳又
𢈿,广戈口一
𢉀,广雨
𢉁,广月月
𢉂,广宀㠯
𢉃,广亼古
𢉄,广亽乙欠
𢉅,广金
𢉆,广彐二廴
𢉇,广丿大龰
𢉈,广士口凵
𢉉,广大丷土
𢉊,广立廴
𢉋,广三丨月
𢉌,广上小又
𢉍,广止灬
𢉎,广爿十又
𢉏,广爫又
𢉐,广毛灬
𢉑,广龶月
𢉒,广尚
𢉓,广一乙
𢉔,广亻龴小
𢉕,广兔
𢉖,广厶
𢉗,广了口一
𢉘,广火火
𢉙,广廿火
𢉚,广爫子乙
𢉛,广勿丶心
𢉜,广耂日
𢉝,广田
𢉞,广户冂艹
𢉟,广彳彐
𢉠,广丿口⽱
𢉡,广亻厶矢
𢉢,广古月
𢉣,广亻口木
𢉤,广力口木
𢉥,广日勹乙
𢉦,广冖車
𢉧,广艹目
𢉨,广木口刂
𢉩,广立日
𢉪,广止匕木
𢉫,广木口
𢉬,广覀土
𢉭,广丷豕
𢉮,广其乙
𢉯,广七貝
𢉰,广吅土
𢉱,广龷田
𢉲,广儿言
𢉳,广艹口
𢉴,广旦龰
𢉵,广山山山
𢉶,广亻寸天
𢉷,广丷西一
𢉸,广忄火
𢉹,广宀龴木
𢉺,广且
𢉻,广口
𢉼,广彐丨月
𢉽,广木古
𢉾,广山幺幺
𢉿,广馬
𢊀,广⺁虍几
𢊁,广灬
𢊂,广龶回
𢊃,广大人土
𢊄,广隹又
𢊅,广辶
𢊆,广禾禾
𢊇,广衣
𢊈,广穴人夕
𢊉,广千一回
𢊊,广大丷电
𢊋,广八夂
𢊌,广人月
𢊍,广豆寸
𢊎,广非人
𢊏,广三丨手
𢊐,广⺁虍人
𢊑,广龷丿丨
𢊒,广亻木灬
𢊓,广小小日
𢊔,广⺈冂
𢊕,广丿心
𢊖,广氵冖木
𢊗,广艹日大
𢊘,广匚矢又
𢊙,广儿句
𢊚,广彳止龰
𢊛,广山隹
𢊜,广弓
𢊝,广䶹火火
𢊞,广羽人山
𢊟,广尸丨貝
𢊠,麻口
𢊡,广不目儿
𢊢,麻于
𢊣,广覀示
𢊤,广罒一丶
𢊥,广尚巾
𢊦,广谷欠
𢊧,广魚
𢊨,广女又糸
𢊩,广厶罒匕
𢊪,广彐人米
𢊫,广土立口
𢊬,广回示
𢊭,广丷夫衣
𢊮,广貝
𢊯,广爫灬
𢊰,广龷月攵
𢊱,广十艹貝
𢊲,广木木木
𢊳,广止匕口
𢊴,广亼口吅
𢊵,广白日十
𢊶,麻⺆冫
𢊷,广貝
𢊸,广囬禾
𢊹,广厶大貝
𢊺,广卯田
𢊻,广⺽人小
𢊼,广彡頁
𢊽,广火火火
𢊾,广亻寸貝
𢊿,广人人夂
𢋀,广止匕言
𢋁,广⺊日又
𢋂,广日耂日
𢋃,广亠回旦
𢋄,广隹乙
𢋅,广亼月欠
𢋆,广立日欠
𢋇,广罒土干
𢋈,广鱼禾
𢋉,广禾⺈女
𢋊,广亠乡隹
𢋋,广彳山攵
𢋌,广人人夂
𢋍,广龷八貝
𢋎,麻示
𢋏,广丆囬木
𢋐,广人貝
𢋑,广龷㐄
𢋒,广丨一又
𢋓,广廿口土
𢋔,广大匚品
𢋕,广丷一示
𢋖,广彐丿十
𢋗,广亻隹火
𢋘,广糹隹
𢋙,麻虫
𢋚,麻冖月
𢋛,广自田
𢋜,广白丿虫
𢋝,广白儿木
𢋞,广亽龴頁
𢋟,广彐禾
𢋠,巾广丶
𢋡,广魚日
𢋢,广木人回
𢋣,广丆冂夂
𢋤,麻心夂
𢋥,广亻鳥
𢋦,广土人人
𢋧,广石石石
𢋨,广黑土
𢋩,广亻隹瓦
𢋪,广乂
𢋫,广羽人貝
𢋬,广朩山隹
𢋭,广艹日厶
𢋮,广木木攵
𢋯,广禾彐彐
𢋰,广龷木
𢋱,屮凵广灬
𢋲,麻宀工八
𢋳,广廿灬十
𢋴,廿儿冖丶
𢋵,广禾
𢋶,广尸口子
𢋷,广木口貝
𢋸,广丬匕八
𢋹,广止止木
𢋺,广又
𢋻,广亼吅攵
𢋼,广虍豆戈
𢋽,广虍田阝
𢋾,广土人回
𢋿,广亠丷示
𢌀,广土丷衣
𢌁,麻非一
𢌂,广丆日夂
𢌃,广亼吅欠
𢌄,广目目隹
𢌅,广黑土阝
𢌆,广日十虫
𢌇,广厶
𢌈,广㐫禸隹
𢌉,广丆目夂
𢌊,广龷由廾
𢌋,广大廿木
𢌌,王廾广八
𢌍,广丷一
𢌎,广艹子
𢌏,广尚巴隹
𢌐,广木口一
𢌑,麻非木
𢌒,广一冂鹿
𢌓,广回巴
𢌔,广⻗口人
𢌕,广言糹乙
𢌖,广工耳心
𢌗,十廴
𢌘,彡廴
𢌙,千廴
𢌚,山廴
𢌛,一止廴
𢌜,龵廴
𢌝,人彡廴
𢌞,冂巳廴
𢌟,羽廴
𢌠,甫廴
𢌡,冂丷口廴
𢌢,夂三丨廴
𢌣,亻丨廴
𢌤,乙彐二丶
𢌥,口王廴
𢌦,千一攵廴
𢌧,止日廴
𢌨,止目廴
𢌩,覀土廴
𢌪,日一止廴
𢌫,一止目廴
𢌬,一儿
𢌭,廾丶
𢌮,亠廾
𢌯,人廾
𢌰,艹乂一
𢌱,二乙廾
𢌲,山廾
𢌳,廾
𢌴,巳巳廾
𢌵,戈廾
𢌶,木廾
𢌷,冂人廾
𢌸,六廾
𢌹,厶厶廾
𢌺,冂人廾
𢌻,土儿廾
𢌼,了廾
𢌽,廾丨廾丨
𢌾,大丷廾
𢌿,田廾
𢍀,㠯廾
𢍁,由廾
𢍂,自廾
𢍃,丿大十廾
𢍄,乂廾
𢍅,⺈冂人廾
𢍆,三丨刀廾
𢍇,土巳廾
𢍈,歹匕廾
𢍉,丿田廾
𢍊,丷夫廾
𢍋,丷日廾
𢍌,廿乂廾
𢍍,丿乂廾
𢍎,⺧口廾
𢍏,禾丷廾
𢍐,一丨一廾
𢍑,亻白廾
𢍒,乑丿廾
𢍓,亠目廾
𢍔,冖八日廾
𢍕,丷夫㔾廾
𢍖,一由廾
𢍗,歹攵廾
𢍘,井廾
𢍙,乂乂廾
𢍚,十冖田廾
𢍛,未攵廾
𢍜,八西一廾
𢍝,彑廾
𢍞,云田廾
𢍟,彐工口廾
𢍠,土土九廾
𢍡,氵亼口廾
𢍢,禾丷廾
𢍣,龶糸廾
𢍤,大丷电廾
𢍥,屰月廾
𢍦,一人人廾
𢍧,罒衣廾
𢍨,米土厶廾
𢍩,人人囗廾
𢍪,豆廾
𢍫,木尸尸开
𢍬,口凵口廾
𢍭,凹厶廾廾
𢍮,工人口廾
𢍯,⺽冂一廾
𢍰,罒土丷廾
𢍱,⺽乂廾
𢍲,⺽西一廾
𢍳,丆目丆廾
𢍴,廾
𢍵,龶糸糸廾
𢍶,言糹糹廾
𢍷,止止厂廾
𢍸,魚艹句廾
𢍹,⺽乂廾
𢍺,七丶
𢍻,弋乙
𢍼,一弋
𢍽,尢弋
𢍾,弋一匕
𢍿,爿弋
𢎀,弋月
𢎁,一弋人乙
𢎂,弋人人
𢎃,弋日
𢎄,丁口弋
𢎅,弋句
𢎆,弋一厶土
𢎇,十弋手
𢎈,弋一目
𢎉,弋竹
𢎊,又木弋
𢎋,木口弋
𢎌,甘亻弋
𢎍,⺈彐弋工
𢎎,厶月弋工
𢎏,弋二一丶
𢎐,弋丿二貝
𢎑,弋田龷八
𢎒,丷日弋
𢎓,⺈彐攵弋
𢎔,一弋止乙
𢎕,齒弋
𢎖,目目隹弋
𢎗,弓
𢎘,马
𢎙,马马
𢎚,弓丶
𢎛,弓丶
𢎜,弓
𢎝,彐乙
𢎞,弓乙
𢎟,弓丨
𢎠,弓丨
𢎡,弓丶
𢎢,弓人
𢎣,亻弓
𢎤,弓又
𢎥,弓二
𢎦,人弓
𢎧,弓一乙
𢎨,弓丨丿
𢎩,弓九
𢎪,弓几
𢎫,弓九丶
𢎬,弓八丶
𢎭,弓巾
𢎮,弓人一
𢎯,弓
𢎰,弓二乙
𢎱,弓丨丨丿
𢎲,弓八一
𢎳,弓土
𢎴,弓大
𢎵,弓川
𢎶,弓人一
𢎷,弓方
𢎸,弓一彑
𢎹,弓人
𢎺,弓幺丨
𢎻,弓予
𢎼,弓十又
𢎽,弓乃丶
𢎾,弓天
𢎿,弓攵
𢏀,弓人龴
𢏁,弓一幺
𢏂,弓斤
𢏃,⺈冖弓
𢏄,弓弓丨
𢏅,弓火
𢏆,弓古
𢏇,弓弓
𢏈,弓㠯
𢏉,弓匚丶
𢏊,弓干丷
𢏋,弓宀匕
𢏌,弓戊
𢏍,弓⺊巳
𢏎,弓四
𢏏,弓人小
𢏐,弓冖丿厶
𢏑,弓丷二丨
𢏒,丿七弓丿
𢏓,弓厶大
𢏔,勹日弓
𢏕,弓冂一口
𢏖,羽弓
𢏗,一干弓
𢏘,干弓干
𢏙,弓羊
𢏚,弓工工
𢏛,弓糸
𢏜,弓夕夕
𢏝,弓弓弓
𢏞,弓了一
𢏟,弓厶冂人
𢏠,弓氵工
𢏡,弓⺧儿
𢏢,囗艹弓
𢏣,弓囗艹
𢏤,弓厶八夂
𢏥,弓日干
𢏦,弓厶矢
𢏧,弓⺈用
𢏨,扌斤弓
𢏩,弓囗丿乙
𢏪,扌夫弓
𢏫,弓山十又
𢏬,弓人人土
𢏭,弓
𢏮,弓片爿一
𢏯,弓虍几
𢏰,弓爫彐丨
𢏱,弓臼儿
𢏲,弓亠厶木
𢏳,弓丿一干
𢏴,弓千艹二
𢏵,弓一彐龰
𢏶,弓十月乙
