字符,拆分
熬,龶勹攵灬
婧,女龶月
敖,龶勹攵
婊,女龶
鳌,龶勹攵鱼
赘,龶勹攵贝
螯,龶勹攵虫
獒,龶勹攵犬
骜,龶勹攵马
遨,龶勹攵辶
鏊,龶勹攵金
纛,龶母系
妁,女勹丶
聱,龶勹攵耳
娃,女土土
嫂,女臼丨又
娉,女由一乙
匍,勹甫
嫘,女田糸
嫱,女土丷回
妯,女由
勹,勹
责,龶贝
急,⺈彐心
争,⺈彐丨
邹,⺈彐阝
皱,⺈彐皮
煞,⺈彐攵灬
雏,⺈彐隹
刍,⺈彐
媛,女爫二夂
鸲,句鸟
嫒,女爫冖又
妗,女亽乙
努,女又力
怒,女又心
奴,女又
弩,女又弓
麸,龶夂夫
驽,女又马
帑,女又巾
胬,女又肉
孥,女又子
嫜,女立早
妮,女尸匕
姚,女儿
危,⺈厂㔾
詹,⺈厂八言
媚,女尸丨目
嫉,女疒矢
姥,女耂匕
娠,女厂二
妩,女无
娓,女尸毛
尔,⺈小
嫌,女丷一
玺,⺈小王丶
娣,女丷弓丿
婵,女丷
迩,⺈小辶
嫦,女尚巾
婀,女阝丁口
妪,女匚乂
姘,女丷开
包,勹巳
始,女厶口
姬,女
勾,勹厶
妃,女己
刨,勹巳刂
媳,女自心
向,口
象,⺈口
娱,女口天
娟,女口月
姻,女囗大
恕,女口心
絮,女口糸
媲,女乂匕
婢,女白丿十
娲,女口冂人
奶,女乃
媒,女甘木
訇,勹言
够,句夕夕
青,龶月
静,龶月⺈丨
姑,女古
妖,女丿大
娇,女丿大
靓,龶月冂儿
娥,女丿扌戈
姝,女丿未
妊,女丿士
靛,龶月宀龰
龟,⺈日乙
匀,勹冫
旬,勹日
妲,女旦
娼,女日日
郇,勹日阝
媪,女日皿
孀,女⻗木目
娌,女日土
解,⺈用刀牛
奥,米大
蟹,⺈用刀虫
触,⺈用虫
妞,女乙土
姊,女乙丨丿
嬉,女壴口
婿,女乙龰月
斛,⺈用⺀十
邂,⺈用刀辶
觞,⺈用丿
姒,女乙丶人
觚,⺈用瓜
觥,⺈用⺎
觯,⺈用丷
劬,句力
觖,⺈用人
觫,⺈用木口
婷,女冖丁
婉,女宀夕㔾
娴,女门木
嫔,女宀丘八
妓,女十又
妒,女户
婶,女宀申
姹,女宀丿七
婕,女一彐龰
嫣,女一止灬
匐,勹一口田
妍,女开
匈,勹乂凵
媸,女屮一虫
媾,女冂土
嫫,女艹日大
嬷,女麻丿厶
姗,女⺆⺆一
奂,⺈冂大
妣,女匕匕
娘,女丶彐
勺,勹丶
灸,丶火
妫,女丶丶
妈,女马
娩,女免
嫩,女木口攵
奸,女干
婚,女氏日
妨,女方
嫡,女亠丷古
嫖,女覀示
姣,女六乂
嬗,女亠回旦
妤,女予
娆,女⺎
均,土勹冫
垧,土口
舄,臼勹灬
坶,土母
墙,土土丷回
埔,土甫
圭,土土
卦,土土卜
埠,土十
舅,臼田力
畦,田土土
恚,土土心
圳,土川
盥,⺽水皿
墚,土氵刀木
町,田丁
圩,土于
垠,土彐
坷,土丁口
埭,土彐氺
埽,土彐冖巾
坞,土乌
垮,土大二乙
畸,田大丁口
畴,田三丿寸
埒,土爫寸
埝,土亽乙心
埯,土大电
甫,甫
畋,田攵
境,土立日儿
培,土立口
垃,土立
舆,⺽车一八
疃,田立日土
垓,土亥
塘,土广彐口
堵,土耂日
坂,土⺁又
馨,士尸丨日
塬,土厂白小
墉,土广彐丨
畈,田⺁又
磬,士尸丨石
罄,士尸丨缶
墀,土尸氺牛
坜,土厂力
坭,土尸匕
圹,土广
謦,士尸丨言
堀,土尸屮凵
增,土丷日
块,土人
幸,土丷干
邮,由阝
丧,土丷
畔,田丷二丨
堰,土匚日女
坯,土不一
逵,土八土辶
啬,土丷回
垲,土山己
却,土厶卩
思,田心
志,士心
埃,土厶矢
劫,土厶力
臼,臼
垴,土㐫
圯,土巳
圮,土己
盍,土厶皿
袁,土口
埤,土白丿十
埕,土口王
颉,士口页
埙,土口贝
埚,土口冂人
迪,由辶
赫,土土
赤,土
郝,土阝
圾,土乃丶
赦,土攵
叟,臼丨又
赭,土耂日
逋,甫辶
赧,土卩又
螫,土攵虫
坩,土甘
胄,由月
埏,土丿廴
堋,土月月
埋,土日土
坤,土申
坛,土云
堤,土旦龰
塌,土日羽
埸,土日勿
墁,土日罒又
埘,土日寸
场,土乙丿丿
毁,臼工几又
堪,土其乙
垛,土几木
塄,土罒方
嬲,田力女力
阜,十
墩,土子攵
坨,土宀匕
壕,土冖豕
垸,土宀二儿
畹,田宀夕㔾
埴,土十
埂,土一日乂
畀,田一
垤,土一厶土
塥,土一口丨
垭,土亚
堞,土廿乙木
舁,臼廾
界,田人
垢,土𠂋
臾,臼人
畛,田人彡
堠,土亻矢
田,田
圪,土乙
壳,士冖几
坡,土皮
壶,士冖业
壹,士冖豆
懿,士冖豆心
毗,田匕匕
坳,土幺力
毂,士冖车又
坍,土⺆亠
悫,士冖几心
爨,⺽冂一火
垌,土冂一口
彀,士冖一又
觳,士冖一又
璺,⺽冂一丶
盐,土卜皿
垆,土⺊尸
坫,土⺊口
墟,土虍业
堍,土兔
圬,土二乙
畎,田犬
垅,土龙
圻,土斤
坼,土斤丶
坑,土亠几
坊,土方
敷,甫方攵
坟,土亠乂
畏,田
壤,土衣吅
坻,土氏丶
墒,土亠丷口
堙,土覀土
域,土戈口一
清,氵龶月
泡,氵勹巳
沟,氵勹厶
澳,氵米大
淘,氵勹缶
汝,氵女
渍,氵龶贝
洵,氵勹日
赡,贝⺈厂言
涣,氵⺈冂大
澹,氵⺈厂言
洳,氵女口
法,氵土厶
贝,贝
洁,氵士口
浦,氵甫
洼,氵土土
渭,氵田月
溥,氵甫寸
漯,氵田糸
甾,巛田
溲,氵臼丨又
淠,氵田一
溘,氵土厶皿
赙,贝甫寸
川,川
顺,川页
溢,氵皿
婴,贝贝女
溅,氵贝戋
赎,贝头
淼,水水水
泾,氵ス工
渤,氵子力
渎,氵头
淄,氵巛田
鹦,贝贝女鸟
罂,贝贝缶
巛,巛
财,贝丿
津,氵彐二丨
浙,氵扌斤
浸,氵彐冖又
汀,氵丁
湃,氵龵三十
浔,氵彐寸
溉,氵彐儿
渌,氵彐氺
添,氵天
潜,氵夫夫日
涛,氵三丿寸
浮,氵爫子
淮,氵隹
渝,氵亼月刂
淹,氵大电
浊,氵虫
淫,氵爫丿士
溃,氵贝
洽,氵亼口
汰,氵大丶
滔,氵爫臼
沣,氵三丨
泠,氵亽龴
潦,氵大丷小
溱,氵禾
潋,氵亼攵
滟,氵三丨巴
浃,氵夫丷
瀹,氵亼口艹
洛,氵夂口
泽,氵又二丨
败,贝攵
汪,氵王
滩,氵又隹
贿,贝月
涤,氵夂朩
赂,贝夂口
汊,氵又丶
蠹,石虫虫
橐,石木
洧,氵月
湎,氵丆囬
洚,氵夂㐄
涉,氵止
渐,氵车斤
赔,贝立口
澄,氵癶豆
汛,氵卂
漳,氵立早
泣,氵立
澈,氵月攵
濒,氵止页
瀛,氵亡口丶
潞,氵夂口
潼,氵立日土
涟,氵车辶
涪,氵立口
鎏,氵金
滂,氵方
赅,贝亥
浞,氵足
源,氵厂白小
泥,氵尸匕
漏,氵尸雨
渡,氵广廿又
涵,氵了凵
勃,子力
涮,氵尸巾刂
赌,贝耂日
沥,氵厂力
贩,贝⺁又
涯,氵厂土土
渚,氵耂日
湄,氵尸丨目
渥,氵尸一土
赃,贝广土
濂,氵广丷
孛,子
洮,氵儿
溏,氵广彐口
潺,氵尸子子
赈,贝厂二
滏,氵父王丷
溽,氵厂二寸
鹁,子鸟
赆,贝尸丶⺀
消,氵月
赚,贝丷一
汇,氵匚
洲,氵⺍川
赠,贝丷日
渠,氵匚木
滋,氵丷一幺
浴,氵谷
渊,氵米
鲨,氵少鱼
汾,氵八刀
汕,氵山
浜,氵丘八
涕,氵丷弓丿
淌,氵尚
泮,氵丷二丨
娑,氵少女
湍,氵山而
滁,氵阝人八
湔,氵丷一刂
沤,氵匚乂
涔,氵山亽乙
凼,水凵
裟,氵少衣
湓,氵八刀皿
泐,氵阝力
挲,氵少手
治,氵厶口
滑,氵骨
井,井
泪,氵目
涌,氵龴用
渗,氵厶大彡
沁,氵心
泌,氵必
滥,氵皿
溴,氵自犬
浚,氵厶八夂
贻,贝厶口
渺,氵目少
洱,氵耳
漓,氵㐫禸
汜,氵巳
濞,氵自田
洌,氵歹刂
濉,氵目隹
洎,氵自
滠,氵耳又又
觌,头冂儿
囊,吅
泊,氵白
澡,氵品木
涡,氵口冂人
邕,巛口巴
湟,氵白王
涓,氵口月
澧,氵囗艹豆
洄,氵回
涸,氵囗古
洇,氵囗大
溷,氵囗豕
泅,氵囗人
渑,氵口电
贶,贝口儿
涠,氵囗二丨
漶,氵口中心
赇,贝求
活,氵舌
湾,氵亦弓
池,氵也
巡,巛辶
汲,氵乃丶
浒,氵讠十
滦,氵亦木
泔,氵甘
沃,氵丿大
账,贝丿一丶
泛,氵丿之
贬,贝丿之
汐,氵夕
沽,氵古
洙,氵丿未
涎,氵丿廴
淝,氵月巴
鋈,氵丿大金
洫,氵丿皿
温,氵日皿
混,氵日匕匕
湿,氵日业
漫,氵日罒又
涅,氵日土
赐,贝日勿
巢,巛日木
渴,氵日勹乙
瀑,氵日龷氺
灏,氵日页
剿,巛日木刂
濡,氵⻗而
沓,水日
灞,氵⻗革月
汨,氵日
汩,氵曰
泖,氵卯
溻,氵日羽
汤,氵乙丿丿
益,皿
浓,氵农
烫,氵乙丿火
染,氵九木
沿,氵几口
鸿,氵工鸟
劲,ス工力
颈,ス工页
湛,氵其乙
淇,氵其
澎,氵壴彡
澍,氵壴寸
迳,ス工辶
巯,ス工
蠲,皿罒虫
澉,氵乙耳攵
澌,氵其斤
刭,ス工刂
瀵,氵米田八
演,氵宀一八
润,氵门王
潮,氵十早月
沪,氵户
滨,氵宀丘八
溶,氵宀谷
淳,氵子
澜,氵门木
滇,氵十八
淀,氵宀一龰
瀚,氵十早羽
涧,氵门日
沱,氵宀匕
濠,氵冖豕
贮,贝宀一
渲,氵宀二日
浣,氵宀二儿
淙,氵宀示
泞,氵宀丁
滓,氵宀立十
涫,氵宀㠯
渖,氵宀申
赋,贝一弋止
沛,氵一巾
沔,氵一丨乙
港,氵龷八巳
洪,氵龷八
灌,氵艹吅隹
泄,氵廿乙
滞,氵艹丨巾
潇,氵艹彐
漠,氵艹日大
泗,氵四
涝,氵艹冖力
漕,氵艹日日
滢,氵艹冖丶
沌,氵屯
潢,氵龷由八
汹,氵乂凵
淆,氵乂月
浠,氵乂巾
懑,氵艹两心
潆,氵艹冖糸
渫,氵廿乙木
漭,氵艹犬廾
涂,氵人于八
脊,人月
沧,氵人㔾
溯,氵屰月
沦,氵人匕
濮,氵亻业丶
泯,氵民
赊,贝人示
溆,氵人于又
浍,氵人云
氵,氵
潘,氵禾丷田
沮,氵且
湫,氵禾火
浯,氵五口
潲,氵禾月
滗,氵毛
汔,氵乙
沲,氵也
深,氵冖八木
索,糸
沈,氵冖儿
洞,氵冂一口
沉,氵冖几
婆,氵皮女
溜,氵丶田
泼,氵发
泻,氵冖二乙
浑,氵冖车
柒,氵七木
潍,氵纟隹
沏,氵七刀
濯,氵羽隹
泱,氵冂大
泺,氵小
溟,氵冖日六
注,氵丶王
贴,贝⺊口
淡,氵火火
沾,氵⺊口
淑,氵上小又
泳,氵丶乙
泸,氵⺊尸
汴,氵丶下
淖,氵⺊早
沩,氵丶丶
浈,氵⺊贝
赕,贝火火
瀣,氵⺊夕一
洗,氵⺧儿
浩,氵⺧口
污,氵二乙
滤,氵虍心
漾,氵⺷丶
泷,氵龙
沅,氵二儿
漪,氵犭大口
涿,氵豕丶
漉,氵鹿
洹,氵二日
邋,巛辶
潴,氵犭耂日
浼,氵免
滹,氵虍乎
湘,氵木目
渣,氵木旦
漆,氵木人氺
淋,氵木木
濑,氵木口贝
沫,氵末
沐,氵木
沂,氵斤
漱,氵木口欠
淞,氵木八厶
淅,氵木斤
沭,氵木丶
涞,氵未丷
涑,氵木口
潸,氵木木月
漤,氵木木女
游,氵方子
酒,氵西一
济,氵亠乂
页,页
滴,氵亠丷古
液,氵亠亻丶
漂,氵覀示
潭,氵覀早
洒,氵西
汶,氵亠乂
淤,氵方人⺀
浏,氵亠乂刂
溧,氵覀木
漩,氵方龰
淬,氵亠人十
泫,氵亠幺
沆,氵亠几
湮,氵覀土
澶,氵亠回旦
涨,氵弓丿丶
梁,氵刀八木
浅,氵戋
浇,氵⺎
贼,贝戈
贱,贝戋
沼,氵刀口
涩,氵刀丶止
沸,氵弓
泓,氵弓厶
溺,氵弓冫冫
淦,氵金
粱,氵刀八米
抱,扌勹巳
挣,扌⺈彐丨
掏,扌勹缶
掐,扌⺈臼
拘,扌句
拇,扌母
掬,扌勹米
挂,扌土土
搜,扌臼丨又
抽,扌由
捕,扌甫
搏,扌甫寸
摞,扌田糸
拮,扌士口
撂,扌田夂口
撷,扌士口页
录,彐氺
寸,寸
剥,彐氺刂
隶,彐氺
逮,彐氺辶
逯,彐氺辶
撄,扌贝贝女
拶,扌巛夕
攮,扌吅
丁,丁
寻,彐寸
扫,扌彐
挝,扌寸辶
捃,扌彐丿口
排,扌非
抓,扌爪
授,扌爫冖又
拜,龵三十
扶,扌夫
摇,扌爫缶
捡,扌亼
携,扌隹乃
捧,扌二丨
援,扌爫二夂
撩,扌大丷小
拾,扌亼口
掩,扌大电
拎,扌亽龴
揍,扌天
捣,扌山
挟,扌夫丷
捻,扌亽乙心
挞,扌大辶
捋,扌爫寸
撵,扌夫夫车
捺,扌大示
挎,扌大二乙
