字符,拆分
兯,丷〈节字底〉
兰,丷三
共,共
兲,王八
关,丷一大
兴,〈学字头〉一八
兵,丘八
其,艹三八
具,〈见二〉〈四横〉八
典,〈见二〉龷八
兹,丷一幺幺
兺,八刀口匕
养,丷一夫〈乔字底〉
兼,丷一〈聿三〉〈兼无䒑无彐〉
兽,丷田一口
兾,丷田共
兿,丷一扌丸二厶
冀,丨二匕田共
冁,丷日十尸龷乚〈水字边〉
冂,冂
冃,冂二
冄,冂二
内,内
円,冂丄
冇,〈左字框〉冂
冈,冂乂
冉,冂〈里无日〉
冊,冂〈冊字心〉
冋,冂口
册,〈周字框〉〈周字框〉一
再,一冂〈里无日〉
冎,冎
冏,冂八口
冐,〈见二〉二〈青字底〉
冑,由冂二
冒,〈见二〉二目
冓,〈寒字腰〉冂〈里无日〉
冔,〈见二〉二口一〈于无横〉
冕,〈见二〉二免
冖,冖
冗,冖几
冘,冖儿
写,冖与
冚,冖山
军,冖〈东二〉十
农,冖丿乚〈水字边〉
冝,冖〈见二〉三
冞,冖丷木
冟,冖丿日匕
冠,冖二儿寸
冡,冖一一〈豕省〉
冢,冖〈豕二〉〈豸字底〉丶〈水字边〉
冣,冖一〈耳无一〉又
冤,冖兔
冥,冖日六
冦,冖二儿攴
冧,冖木木
冨,冖一口田
冩,冖臼勹灬
冪,冖艹日大巾
冫,冫
冬,夂〈冬字底〉
冭,大〈冬字底〉
冮,冫丅一
冯,冫马
冰,冫丨〈水字框〉
冱,冫一乚乙一
冲,冫口丨
决,冫乙大
冴,冫〈牙二〉丨丿
况,冫兄
冶,冫厶口
冷,冫亽乙丶
冸,冫丷〈举字底〉
冹,冫〈左字框〉又丶
冺,冫〈民字框〉一乚
冻,冫东
冼,冫丿土儿
冽,冫歹刂
冾,冫亼口
冿,冫〈聿三〉〈举字底〉
净,冫〈负字头〉〈聿三〉丨
凁,冫一口〈木无横〉
凂,冫免
凃,冫亼朩
凄,冫一〈聿三〉丨女
凅,冫〈见二〉十口一
准,冫亻〈隹字边〉
凇,冫木八厶
凈,冫爫〈聿三〉丨
凉,冫京
凊,冫龶〈青字底〉
凋,冫〈周字框〉土口
凌,冫土八夂
凍,冫一日〈木无横〉
凎,冫金
减,冫〈戌三〉口〈戈无一〉
凐,冫覀土
凑,冫三人一大
凒,冫山一口丷一
凓,冫覀木
凔,冫亽彐丿口
凕,冫冖日六
凖,冫亻〈隹字边〉十
凗,冫山亻〈隹字边〉
凘,冫艹三八〈反字框〉丅
凙,冫罒土丷干
凚,冫木木二小
凛,冫亠回二小
凜,冫亠回丿木
凝,冫匕〈卧人〉大乙丶乙龰
凞,冫丿臣巳灬
凟,冫士罒目八
几,几
凡,凡
凢,丿几
凣,丨几
凤,〈风省〉又
凥,尸几
処,夂几
凧,〈风省〉巾
凨,〈风省〉二厶
凩,〈风省〉木
凪,〈风省〉止
凫,〈鸟省〉几
凬,〈风省〉一日
凭,亻丿士几
凮,〈风省〉丆日
凯,山己几
凰,〈风省〉丿日王
凱,山一口丷一几
凲,〈风省〉丷一〈聿三〉〈兼无䒑无彐〉
凳,乙丶〈横两撇〉丶一口丷一几
凴,冫〈馬字框〉灬几
凵,凵
凶,乂凵
凷,土凵
凸,丨一丨乙一
凹,丨乙〈见二〉一
出,出
击,〈举字底〉凵
凼,丨〈水字框〉凵
函,乙丨〈率字腰〉凵
凾,乙丨口又凵
凿,〈业无横〉一丷干凵
刀,刀
刁,乙一
刂,刂
刃,刃
刄,刀丶
刅,刀〈横两点〉
分,八刀
切,七刀
刈,乂刂
刉,〈卧人〉乙刂
刊,干刂
刋,丿〈左字框〉刂
刌,寸刂
刍,〈负字头〉彐
刎,勹〈横两撇〉刂
刏,气刂
刐,〈周字框〉亠刂
刑,开刂
划,一〈戈无一〉刂
刓,二儿刂
刔,乙大刂
刕,刀刀刀
刖,月刂
列,歹刂
刘,亠乂刂
则,〈见二〉人刂
刚,冂乂刂
创,〈全字头〉乙乚刂
刜,弓〈乔字底〉刂
初,〈礻三〉〈水字边〉刀
刞,〈见二〉三刂
刟,刀口刂
删,〈周字框〉〈周字框〉一刂
刡,〈民字框〉一乚刂
刢,亽乙丶刂
刣,厶口刂
判,丷〈夫三〉刂
別,口〈別字旁底〉刂
刦,土厶刂
刧,土厶刀
刨,勹巳刂
利,丿木刂
刪,冂〈冊字心〉刂
别,另刂
刬,二〈戈无一〉刂
刭,〈经右角〉丅一刂
刮,丿十口刂
刯,一日一刂
到,一厶土刂
刱,二〈乔字底〉刀〈横两点〉
刲,土土刂
刳,大二乚刂
刴,乃木刂
刵,一〈耳无一〉刂
制,〈朱三〉巾刂
刷,尸巾刂
券,丷夫刀
刹,乂朩刂
刺,一冂〈木无横〉刂
刻,亠〈亥无亠无人〉人刂
刼,土厶刃
刽,〈全字头〉二厶刂
刾,一丷大刂
刿,山〈久二〉丶刂
剀,山己刂
剁,几木刂
剂,亠乂〈乔字底〉刂
剃,丷弓丨丿刂
剄,一巛丅一刂
剅,一口丷一刂
剆,丶〈即字旁〉刂
則,目八刂
剈,口〈青字底〉刂
剉,人人土刂
削,〈尚字头〉〈青字底〉刂
剋,十兄刂
剌,一口〈木无横〉刂
前,丷一〈青字底〉刂
剎,乂木丶刂
剏,丷开刃
剐,口内刂
