字符,拆分,拆分臺灣,拆分兼一,拆分兼二,拆分兼三,拆分兼四
ㅺ,人𠃍,,,,,
ㅻ,人𠃊,,,,,
ㅼ,人匸,,,,,
ㅽ,人ㅂ,,,,,
ㅾ,人ㅈ,,,,,
ㅿ,Δ,,,,,
ㆀ,〇〇,,丨〇丨〇,,,
ㆁ,丨〇,,,,,
ㆂ,丨〇人,,,,,
ㆃ,丨〇Δ,,,,,
ㆄ,一䒑〇,,一䒑丨〇,,,
ㆅ,ㅎㅎ,,,,,
ㆆ,一〇,,,,,
ㆇ,ㅛㅑ,,,,,
ㆈ,ㅛㅒ,,,,,
ㆉ,ㅛ丨,,,,,
ㆊ,一〢二丨,,,,,
ㆋ,一〢二〢,,,,,
ㆌ,一〢丨,,,,,
ㆍ,丶,,,,,
ㆎ,丶丨,,,,,
㇀,㇀,,,,,
㇁,㇁,,,,,
㇂,㇂,,,,,
㇃,㇂,,,,,
㇄,𠃊,,,,,
㇅,㇅,,,,,
㇇,㇇,,,,,
㇈,⺄,,,,,
㇉,㇉,,,,,
㇊,㇅,,,,,
㇋,㇋,,,,,
㇌,㇌,,,,,
㇍,㇅,,,,,
㇎,㇎,,,,,
㇏,㇏,,,,,
㇘,㇁,,,,,
㇢,㇁,,,,,
㇣,〇,,,,,
㇥,ㄣ,,,,,
ㇰ,𠂊,,,,,
ㇱ,氵,,,,,
ㇲ,ス,,,,,
ㇳ,卜,,,,,
ㇴ,又,,,,,
ㇵ,八,,,,,
ㇶ,匕,,,,,
ㇷ,㇇,,,,,
ㇸ,乀,,,,,
ㇹ,朩,,,,,
ㇺ,厶,,,,,
ㇻ,一㇇,,,,,
ㇼ,リ,,,,,
ㇽ,儿,,,,,
ㇾ,𠄌,,,,,
ㇿ,口,,,,,
㐀,卝一,,,,,
㐁,一囗人,,,,,
㐂,七〈切左〉七,七七七,,,,
㐃,Δ丨,,,,,
㐄,匸丨,,,,,
㐅,㐅,,,,,
㐆,〈㐆上〉𠃌,,,,,
㐇,九乙,,,,,
㐈,丿乀乙,,,,,
㐉,丁乙,,,,,
㐊,士乙,,,,,
㐋,土乙,,,,,
㐌,𠂉也,,,,,
㐍,爫乙,,,,,
㐎,文乙,,,,,
㐏,丅ユ乙,,,,,
㐐,女又乙,,,,,
㐑,夂⺀乙,,,,,
㐒,刀口乙,,,,,
㐓,丁口乙,,,,,
㐔,〈享上〉乙,,,,,
㐕,由乙,,,,,
㐖,士口乚,,,,,
㐗,耂匕乙,,,,,
㐘,米乙,,,,,
㐙,一〈壴下〉乙,,,,,
㐚,丅ユ口乙,,,,,
㐛,亻𠂇口乙,,,,,
㐜,〈于下〉〈冫く〉丶九,,,,,
㐝,扌勹口乙,,,,,
㐞,其乙,,,,,
㐟,非乙,,,,,
㐠,爫子乚乙,,,,,
㐡,九而大,,,,,
㐢,氵爫子乙,,,,,
㐣,广車乙,,,,,
㐤,九十〈具上〉八,,,,,
㐥,釒且力乙,,,,,
㐦,〈臼〉丂丨八手乙,〈臼〉丂丿八手乙,,,,
㐧,丶乛亅丿,,,,,
㐨,龴乛亅龴乛亅,,,,,
㐩,井井,,,,,
㐪,亠〈艸左〉㇏,大凵,亠凵人,,,
㐫,文凵,,,,,
㐬,亠厶〈巟下〉,,,,,
㐭,亠囗口,,,,,
㐮,亠八〈冓上〉𧘇,,,,,
㐯,〈享上〉口禾日,,,,,
㐰,亻口,,,,,
㐱,人彡,,,,,
㐲,亻大,,,,,
㐳,亻兀,,,,,
㐴,亻夕,,,,,
㐵,亻一〈于下〉,,,,,
㐶,亻巳,,,,,
㐷,亻马,,,,,
㐸,亻欠,,,,,
㐹,亻气,,,,,
㐺,亻亻人,,,,,
